%frequency	 %AdV2017-WB	 %AdV2019-WB
   2.4554441e+01   3.2404855e-23   3.3835630e-23
   2.4611063e+01   3.2137484e-23   3.3564003e-23
   2.4667817e+01   3.1872795e-23   3.3295021e-23
   2.4724701e+01   3.1610763e-23   3.3028656e-23
   2.4781716e+01   3.1351361e-23   3.2764883e-23
   2.4838863e+01   3.1094565e-23   3.2503677e-23
   2.4896142e+01   3.0840348e-23   3.2245010e-23
   2.4953552e+01   3.0588687e-23   3.1988860e-23
   2.5011095e+01   3.0339556e-23   3.1735201e-23
   2.5068771e+01   3.0092931e-23   3.1484008e-23
   2.5126580e+01   2.9848789e-23   3.1235258e-23
   2.5184522e+01   2.9607104e-23   3.0988927e-23
   2.5242598e+01   2.9367855e-23   3.0744990e-23
   2.5300807e+01   2.9131017e-23   3.0503425e-23
   2.5359151e+01   2.8896567e-23   3.0264208e-23
   2.5417630e+01   2.8664484e-23   3.0027317e-23
   2.5476243e+01   2.8434743e-23   2.9792729e-23
   2.5534991e+01   2.8207324e-23   2.9560421e-23
   2.5593875e+01   2.7982203e-23   2.9330372e-23
   2.5652895e+01   2.7759360e-23   2.9102560e-23
   2.5712050e+01   2.7538772e-23   2.8876962e-23
   2.5771343e+01   2.7320419e-23   2.8653558e-23
   2.5830772e+01   2.7104278e-23   2.8432326e-23
   2.5890338e+01   2.6890330e-23   2.8213245e-23
   2.5950041e+01   2.6678554e-23   2.7996295e-23
   2.6009882e+01   2.6468929e-23   2.7781455e-23
   2.6069861e+01   2.6261435e-23   2.7568705e-23
   2.6129978e+01   2.6056051e-23   2.7358025e-23
   2.6190234e+01   2.5852759e-23   2.7149394e-23
   2.6250629e+01   2.5651538e-23   2.6942793e-23
   2.6311163e+01   2.5452370e-23   2.6738203e-23
   2.6371837e+01   2.5255234e-23   2.6535605e-23
   2.6432650e+01   2.5060112e-23   2.6334978e-23
   2.6493604e+01   2.4866985e-23   2.6136305e-23
   2.6554699e+01   2.4675835e-23   2.5939566e-23
   2.6615934e+01   2.4486642e-23   2.5744744e-23
   2.6677311e+01   2.4299389e-23   2.5551819e-23
   2.6738829e+01   2.4114058e-23   2.5360774e-23
   2.6800489e+01   2.3930630e-23   2.5171591e-23
   2.6862291e+01   2.3749087e-23   2.4984252e-23
   2.6924236e+01   2.3569414e-23   2.4798739e-23
   2.6986323e+01   2.3391591e-23   2.4615035e-23
   2.7048554e+01   2.3215601e-23   2.4433122e-23
   2.7110928e+01   2.3041428e-23   2.4252984e-23
   2.7173446e+01   2.2869055e-23   2.4074604e-23
   2.7236108e+01   2.2698465e-23   2.3897965e-23
   2.7298915e+01   2.2529641e-23   2.3723050e-23
   2.7361866e+01   2.2362567e-23   2.3549843e-23
   2.7424963e+01   2.2197226e-23   2.3378327e-23
   2.7488205e+01   2.2033603e-23   2.3208488e-23
   2.7551593e+01   2.1871682e-23   2.3040308e-23
   2.7615127e+01   2.1711446e-23   2.2873771e-23
   2.7678808e+01   2.1552880e-23   2.2708863e-23
   2.7742636e+01   2.1395969e-23   2.2545568e-23
   2.7806610e+01   2.1240697e-23   2.2383870e-23
   2.7870732e+01   2.1087048e-23   2.2223754e-23
   2.7935003e+01   2.0935009e-23   2.2065206e-23
   2.7999421e+01   2.0784563e-23   2.1908209e-23
   2.8063988e+01   2.0635696e-23   2.1752750e-23
   2.8128704e+01   2.0488393e-23   2.1598814e-23
   2.8193569e+01   2.0342640e-23   2.1446387e-23
   2.8258583e+01   2.0198422e-23   2.1295453e-23
   2.8323748e+01   2.0055725e-23   2.1146000e-23
   2.8389062e+01   1.9914535e-23   2.0998012e-23
   2.8454528e+01   1.9774837e-23   2.0851476e-23
   2.8520144e+01   1.9636618e-23   2.0706378e-23
   2.8585912e+01   1.9499865e-23   2.0562704e-23
   2.8651831e+01   1.9364562e-23   2.0420441e-23
   2.8717903e+01   1.9230697e-23   2.0279576e-23
   2.8784126e+01   1.9098256e-23   2.0140094e-23
   2.8850503e+01   1.8967226e-23   2.0001984e-23
   2.8917032e+01   1.8837594e-23   1.9865231e-23
   2.8983715e+01   1.8709346e-23   1.9729823e-23
   2.9050552e+01   1.8582470e-23   1.9595748e-23
   2.9117543e+01   1.8456952e-23   1.9462992e-23
   2.9184688e+01   1.8332780e-23   1.9331542e-23
   2.9251988e+01   1.8209942e-23   1.9201387e-23
